계약일,자치구명,법정동명,주소,건물명,층,위도,경도,전월세 구분,임대면적(㎡),보증금(만원),임대료(만원),계약기간,신규갱신여부,계약갱신권사용여부,종전 보증금,종전 임대료,건축년도,건물용도
202451,종로구,누하동,서울특별시 종로구 누하동 196,(196-0),2,37.5789979,126.9675612,전세,48.86,"18,000",0,24.06~26.06,신규,,,,2003,연립다세대
2024514,종로구,누상동,서울특별시 종로구 누상동 36-3,청마G동,4,37.5804226,126.9630739,전세,59.67,"27,000",0,24.07~26.07,신규,,,,2001,연립다세대
2024516,종로구,누상동,서울특별시 종로구 누상동 166-112,원아트빌B동,4,37.5804226,126.9630739,전세,64.51,"27,400",0,24.05~26.05,갱신,,"26,250",,2003,연립다세대
202454,종로구,신교동,서울특별시 종로구 신교동 17-10,팔라디오빌,3,37.58416,126.96723,전세,59.12,"42,500",0,24.06~26.06,신규,,,,2017,연립다세대
202458,종로구,누상동,서울특별시 종로구 누상동 111,수정빌리지,3,37.5804226,126.9630739,월세,59.82,300,20,24.05~26.05,신규,,,,2000,연립다세대
202458,종로구,누상동,서울특별시 종로구 누상동 166-140,은행골드빌,3,,,월세,17.24,"9,000",15,24.06~26.06,신규,,,,2001,연립다세대
202458,종로구,옥인동,서울특별시 종로구 옥인동 182,옥인,1,37.58348,126.96385,전세,59.23,"35,000",0,24.07~26.06,신규,,,,1980,연립다세대
202459,종로구,청운동,서울특별시 종로구 청운동 89-5,아트빌,1,37.58895,126.96784,전세,84.93,"61,950",0,24.05~26.04,갱신,,"59,000",,2002,연립다세대
202459,종로구,신교동,서울특별시 종로구 신교동 17-3,(17-3),-1,37.58416,126.96723,월세,36.88,"3,000",50,24.05~26.05,신규,,,,1996,연립다세대
202459,종로구,신교동,서울특별시 종로구 신교동 17-3,(17-3),3,37.58416,126.96723,월세,55.5,"20,000",35,24.05~25.06,갱신,,"20,000",25,1996,연립다세대
202451,종로구,누하동,서울특별시 종로구 누하동,,,,,전세,125.06,"39,000",0,24.06~26.06,신규,,,,,단독다가구
202451,중구,신당동,서울특별시 중구 신당동,,,,,전세,30.91,"12,000",0,24.05~26.05,신규,,,,,단독다가구
202451,용산구,한남동,서울특별시 용산구 한남동,,,,,월세,40.8,"1,000",80,24.05~26.05,신규,,,,,단독다가구
202451,종로구,충신동,서울특별시 종로구 충신동,,,,,월세,41.07,"12,000",12,24.06~26.06,신규,,,,,단독다가구
202451,중구,신당동,서울특별시 중구 신당동,,,,,월세,38,300,40,24.05~26.05,신규,,,,,단독다가구
202451,종로구,숭인동,서울특별시 종로구 숭인동,,,,,월세,22,"1,000",50,24.05~26.05,신규,,,,,단독다가구
202451,용산구,서계동,서울특별시 용산구 서계동,,,,,월세,34,"5,500",15,24.05~26.04,갱신,,"4,500",15,,단독다가구
202451,용산구,서계동,서울특별시 용산구 서계동,,,,,월세,57.81,"19,500",15,24.05~26.05,갱신,,"18,000",,,단독다가구
2024510,용산구,보광동,서울특별시 용산구 보광동,,,,,월세,28,500,50,24.05~26.05,신규,,,,,단독다가구
2024510,용산구,후암동,서울특별시 용산구 후암동,,,,,전세,32.42,"20,000",0,24.05~26.05,신규,,,,,단독다가구
2024510,용산구,후암동,서울특별시 용산구 후암동,,,,,전세,32.42,"20,000",0,,,,,,,단독다가구
2024510,용산구,후암동,서울특별시 용산구 후암동,,,,,전세,32.42,"20,000",0,24.05~26.05,신규,,,,,단독다가구
2024510,중구,신당동,서울특별시 중구 신당동,,,,,월세,33,"3,000",50,24.08~26.08,신규,,,,,단독다가구
2024510,중구,신당동,서울특별시 중구 신당동,,,,,월세,72.73,"3,000",90,24.05~26.05,신규,,,,,단독다가구
2024510,종로구,명륜4가,서울특별시 종로구 명륜4가,,,,,전세,40,"11,000",0,24.07~26.07,신규,,,,,단독다가구
2024510,종로구,혜화동,서울특별시 종로구 혜화동,,,,,월세,49,"15,000",83,24.05~26.05,신규,,,,,단독다가구
2024510,용산구,서계동,서울특별시 용산구 서계동,,,,,전세,38.64,"17,000",0,24.05~26.05,갱신,,"17,000",,,단독다가구
2024510,용산구,청파동1가,서울특별시 용산구 청파동1가,,,,,전세,35,"10,000",0,24.06~26.06,신규,,,,,단독다가구
2024510,용산구,청파동2가,서울특별시 용산구 청파동2가,,,,,월세,13.22,"1,000",45,24.05~26.05,신규,,,,,단독다가구
2024510,용산구,이태원동,서울특별시 용산구 이태원동,,,,,전세,16.53,"9,000",0,24.06~26.06,신규,,,,,단독다가구
2024510,종로구,숭인동,서울특별시 종로구 숭인동,,,,,월세,55.92,"1,000",90,24.06~26.06,신규,,,,,단독다가구
2024510,종로구,이화동,서울특별시 종로구 이화동,,,,,전세,27.93,"4,000",0,24.05~26.05,신규,,,,,단독다가구
2024510,종로구,숭인동,서울특별시 종로구 숭인동,,,,,월세,30,500,60,24.05~24.12,신규,,,,,단독다가구
2024510,종로구,홍지동,서울특별시 종로구 홍지동,,,,,월세,98.22,"7,000",60,24.05~26.05,신규,,,,,단독다가구
2024510,용산구,서계동,서울특별시 용산구 서계동,,,,,월세,55.17,"12,000",45,24.05~26.05,갱신,,"12,000",35,,단독다가구
2024511,중구,신당동,서울특별시 중구 신당동,,,,,월세,36,500,45,24.05~26.05,신규,,,,,단독다가구
2024511,종로구,창신동,서울특별시 종로구 창신동,,,,,전세,45.42,"10,000",0,24.05~26.05,신규,,,,,단독다가구
2024511,종로구,명륜3가,서울특별시 종로구 명륜3가,,,,,전세,38.35,"14,000",0,24.05~26.05,신규,,,,,단독다가구
2024511,용산구,후암동,서울특별시 용산구 후암동,,,,,월세,40,"5,000",65,24.05~26.05,신규,,,,,단독다가구
2024511,중구,신당동,서울특별시 중구 신당동,,,,,전세,33,"13,500",0,,,,,,,단독다가구
2024511,용산구,후암동,서울특별시 용산구 후암동,,,,,월세,56.47,"2,000",80,24.05~26.05,신규,,,,,단독다가구
2024511,중구,회현동1가,서울특별시 중구 회현동1가,,,,,월세,45,"1,000",90,24.05~26.05,신규,,,,,단독다가구
2024511,용산구,용산동2가,서울특별시 용산구 용산동2가,,,,,전세,29.57,"13,000",0,24.06~26.06,신규,,,,,단독다가구
2024511,용산구,원효로1가,서울특별시 용산구 원효로1가,,,,,월세,29,"2,000",40,24.05~26.05,신규,,,,,단독다가구
2024511,용산구,이태원동,서울특별시 용산구 이태원동,,,,,월세,28.33,"1,500",110,24.05~26.05,신규,,,,,단독다가구
2024511,용산구,이태원동,서울특별시 용산구 이태원동,,,,,전세,28.3,"15,750",0,24.05~26.05,갱신,사용,"15,000",,,단독다가구
2024511,용산구,한남동,서울특별시 용산구 한남동,,,,,전세,49.58,"18,900",0,24.06~26.06,신규,,,,,단독다가구
2024511,용산구,한남동,서울특별시 용산구 한남동,,,,,전세,33,"12,000",0,24.05~26.05,갱신,,"6,900",,,단독다가구
2024511,종로구,명륜3가,서울특별시 종로구 명륜3가,,,,,전세,38.35,"14,000",0,24.06~26.06,신규,,,,,단독다가구
2024511,중구,광희동2가,서울특별시 중구 광희동2가,,,,,월세,28.96,"20,000",30,,,,,,,단독다가구
2024512,종로구,숭인동,서울특별시 종로구 숭인동,,,,,전세,47,"11,500",0,24.05~26.05,갱신,,"10,000",,,단독다가구
2024513,용산구,서계동,서울특별시 용산구 서계동,,,,,월세,47.01,500,45,24.05~24.08,신규,,,,,단독다가구
2024513,용산구,보광동,서울특별시 용산구 보광동,,,,,월세,43.71,"1,000",60,24.05~26.05,신규,,,,,단독다가구
2024513,종로구,창신동,서울특별시 종로구 창신동,,,,,월세,29.61,"4,000",40,24.05~26.05,신규,,,,,단독다가구
2024513,중구,회현동1가,서울특별시 중구 회현동1가,,,,,월세,80.28,"5,000",140,24.05~27.05,신규,,,,,단독다가구
2024513,종로구,연건동,서울특별시 종로구 연건동,,,,,월세,53.87,"1,000",80,24.05~26.05,신규,,,,,단독다가구
2024513,종로구,충신동,서울특별시 종로구 충신동,,,,,월세,26.45,500,62,24.05~26.05,신규,,,,,단독다가구
2024513,종로구,옥인동,서울특별시 종로구 옥인동,,,,,월세,39.75,"5,000",45,24.07~26.07,신규,,,,,단독다가구
2024513,종로구,창신동,서울특별시 종로구 창신동,,,,,전세,44.2,"12,000",0,24.06~26.06,신규,,,,,단독다가구
2024513,종로구,혜화동,서울특별시 종로구 혜화동,,,,,전세,65.47,"30,000",0,24.06~26.06,신규,,,,,단독다가구
2024514,종로구,행촌동,서울특별시 종로구 행촌동,,,,,전세,35.18,"15,000",0,24.06~26.06,신규,,,,,단독다가구
2024514,용산구,용산동2가,서울특별시 용산구 용산동2가,,,,,전세,46.59,"15,000",0,24.05~26.05,갱신,,"15,000",,,단독다가구
2024516,종로구,계동,서울특별시 종로구 계동,,,,,월세,44.61,"4,000",80,24.05~26.05,신규,,,,,단독다가구
2024516,용산구,용산동2가,서울특별시 용산구 용산동2가,,,,,전세,42.85,"14,000",0,24.06~26.05,갱신,,"12,000",,,단독다가구
2024516,중구,신당동,서울특별시 중구 신당동,,,,,전세,41,"19,000",0,24.05~26.05,갱신,,"14,000",,,단독다가구
202452,용산구,청파동2가,서울특별시 용산구 청파동2가,,,,,월세,16.53,500,30,24.05~25.05,신규,,,,,단독다가구
