계약일,자치구명,법정동명,주소,건물명,층,위도,경도,물건금액(만원),건물면적(㎡),토지면적(㎡),권리구분,취소일,건축년도,건물용도,신고구분
202451,종로구,사직동,서울특별시 종로구 사직동 9,광화문스페이스본(101동~105동),2,37.5738317,126.97030324117736,"170,000",131.44,,,,2008,아파트,중개거래
2024510,종로구,내수동,서울특별시 종로구 내수동 95,경희궁파크팰리스,14,37.57294,126.9718,"148,000",103.77,,,,2003,아파트,중개거래
2024513,종로구,창신동,서울특별시 종로구 창신동 703,창신쌍용2,3,37.57595,127.01313,"58,000",64.66,,,,1993,아파트,중개거래
2024513,종로구,창신동,서울특별시 종로구 창신동 703,창신쌍용2,8,37.57595,127.01313,"80,500",106.62,,,,1993,아파트,중개거래
2024514,종로구,창신동,서울특별시 종로구 창신동 703,창신쌍용2,3,37.57595,127.01313,"55,000",54.7,,,,1993,아파트,중개거래
2024514,종로구,숭인동,서울특별시 종로구 숭인동 766,종로청계힐스테이트,18,37.57648,127.01848,"105,000",84.9478,,,24.05.14,2009,아파트,중개거래
202454,종로구,평동,서울특별시 종로구 평동 233,경희궁자이(3단지),5,37.5683558,126.9669813,"149,200",59.7547,,,,2017,아파트,중개거래
202456,종로구,홍파동,서울특별시 종로구 홍파동 199,경희궁자이(2단지),17,37.571092,126.9638497,"162,000",59.8547,,,,2017,아파트,중개거래
202457,종로구,사직동,서울특별시 종로구 사직동 9,광화문스페이스본(101동~105동),3,37.5738317,126.97030324117736,"138,000",94.51,,,,2008,아파트,중개거래
202457,종로구,홍파동,서울특별시 종로구 홍파동 199,경희궁자이(2단지),18,37.571092,126.9638497,"164,000",59.8547,,,,2017,아파트,중개거래
202451,중구,신당동,서울특별시 중구 신당동 402-16,리안빌리지,5,37.565196900000004,127.01321661206495,"51,000",56.7,33.39,,,2008,연립다세대,중개거래
202452,종로구,구기동,서울특별시 종로구 구기동 85-1,조형빌라,3,37.609029,126.9573925,"70,000",158.76,187.44,,,1991,연립다세대,직거래
202453,종로구,누상동,서울특별시 종로구 누상동 120-3,녹원A동,4,37.5804226,126.9630739,"37,000",59.64,23.94,,,2000,연립다세대,중개거래
202453,종로구,행촌동,서울특별시 종로구 행촌동 171-73,정훈빌라,3,37.57425,126.96215,"33,000",52.7,19.93,,,2001,연립다세대,중개거래
202453,중구,신당동,서울특별시 중구 신당동 377-103,이화훼밀리,2,,,"26,000",39.14,23.39,,,1993,연립다세대,중개거래
202453,중구,황학동,서울특별시 중구 황학동 1519,블루카운티,9,37.5675499,127.02172,"20,000",41.87,9.4,,,2013,연립다세대,중개거래
202454,종로구,신영동,서울특별시 종로구 신영동 167-1,경동빌라,3,37.60277,126.9616,"41,200",79.17,89.92,,,1987,연립다세대,중개거래
202456,종로구,평창동,서울특별시 종로구 평창동 170,금강주택,2,37.61597305,126.96764782812966,"50,000",84.95,106.8,,,1992,연립다세대,중개거래
202459,종로구,누상동,서울특별시 종로구 누상동 116,문화빌라B동,4,37.5804226,126.9630739,"34,600",55.04,22.16,,,2000,연립다세대,중개거래
202459,종로구,혜화동,서울특별시 종로구 혜화동 20-27,GREENHOUSED동,3,37.58755,127.00217,"45,000",57.38,33.42,,,2010,연립다세대,중개거래
2024510,종로구,옥인동,서울특별시 종로구 옥인동 4*,,,,,"59,500",38.61,76.4,,,1985,단독다가구,중개거래
202453,종로구,명륜3가,서울특별시 종로구 명륜3가 1**,,,,,"100,000",165.43,102.5,,,1991,단독다가구,중개거래
202454,종로구,평창동,서울특별시 종로구 평창동 2**,,,,,"110,000",135.21,106,,,1993,단독다가구,중개거래
202454,종로구,평창동,서울특별시 종로구 평창동 5**,,,,,"110,000",183.58,162,,,1989,단독다가구,중개거래
202451,용산구,한강로1가,서울특별시 용산구 한강로1가 50-1,용산파크자이,7,37.53517,126.97404,"60,000",52.55,,,,2005,오피스텔,중개거래
2024510,종로구,종로1가,서울특별시 종로구 종로1가 24,르메이에르종로타운1,10,37.57032,126.98209,"81,100",96.92,,,,2007,오피스텔,중개거래
2024510,종로구,숭인동,서울특별시 종로구 숭인동 1388,동양파라빌,10,37.57648,127.01848,"14,100",27.09,,,,2005,오피스텔,중개거래
2024511,중구,오장동,서울특별시 중구 오장동 148-16,남산 센트럴시티 투웨니퍼스트,8,37.56417,127.00024,"14,000",18.28,,,,2022,오피스텔,중개거래
2024511,용산구,동자동,서울특별시 용산구 동자동 56,트윈시티 남산,24,37.55112,126.97251,"36,000",28.33,,,,2015,오피스텔,중개거래
2024514,종로구,부암동,서울특별시 종로구 부암동 129-8,타임730오피스텔,5,37.5949602,126.9657272,"11,000",34.06,,,,2002,오피스텔,중개거래
202454,용산구,동자동,서울특별시 용산구 동자동 56,트윈시티 남산,2,37.55112,126.97251,"28,000",21.71,,,,2015,오피스텔,중개거래
202455,종로구,종로5가,서울특별시 종로구 종로5가 138-4,종로5가역 하이뷰더광장,6,37.57049,127.00301,"30,210",18.97,,,,2022,오피스텔,직거래
202458,종로구,돈의동,서울특별시 종로구 돈의동 39-2,낙원오피스텔,4,37.57208,126.99082,"20,000",33,,,,1991,오피스텔,중개거래
202458,중구,중림동,서울특별시 중구 중림동 355,브라운스톤서울,7,37.5567609,126.96630371330951,"27,500",30.986,,,,2006,오피스텔,중개거래
